MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037206E,ENDUR_UNIT_44_29,Endurance Unit 44-29,1/31/2021,118.2932,,,185.9729167
49037203S,ENDUR_UNIT_44_32,Endurance Unit  44-32,1/31/2021,193.5422,,,72.85481681
49037210E,MANCMP_FTUN_CK,ManCamp Sales Check,1/31/2021,5584.592,,,224.3680004
49037209E,MANCMP_FTUN_FG,ManCamp Fuel Gas,1/31/2021,31.7322,,,108.4223845
49037211S,MANCMP_FTUN_VRU,ManCamp VRU,1/31/2021,0,,,11.29946984
49037212S,MANCMP_S08_23V_ALL,FTUN 1495 S08-23V Allocation,1/31/2021,1666.368,726.542362,221.6617566,215.3477278
49037213S,MANCMP_S08_24V_ALL,FTUN 1495 S08-24V Allocation,1/31/2021,1110.338,443.7319785,218.7908344,215.1831977
49037214S,MANCMP_S17_02V_ALL,FTUN 1495 S17-02V Allocation,1/31/2021,1411.494,484.2163774,219.2030416,215.0496614
49037215E,MANCMP_S17_03V_ALL,FTUN 1495 S17-03V Allocation,1/31/2021,1352.761,505.5630949,221.2160576,215.1383533
49037216E,POLAR_BAR_2,Polar Bar 2,1/31/2021,261.3498,,,168.4058936
49037217E,POWDER_MNT_34_26S2SR,Powder Mnt  34-26 s2sr,1/31/2021,52.32243,,,408.5149903
49037218E,WEST_SLOPE_33_32,West Slope  33-32,1/31/2021,68.36239,,,158.5806932
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,2/1/2021,166.6207,,,155.9083038
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,2/1/2021,210.1249,,,204.9319143
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,2/1/2021,461.7697,,,57.54558942
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,2/1/2021,954.7502,,,194.5922704
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,2/1/2021,292.3572,,,191.5049314
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,2/1/2021,528.9577,,,189.1990915
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,2/1/2021,379.0108,,,40.74179595
49037117E,BARCAD_22_06H_5H,Barricade 22-06H 5H,2/1/2021,244.7325,,,37.4127898
49037118E,BARCAD_23_31_CP,Barricade 23-31 Sales,2/1/2021,812.3127,,,195.2359605
49037119E,BARCAD_23_31H_2H,Barricade 23-31H 2H,2/1/2021,126.2997,237.9037388,89.58607635,31.77427582
49037121E,BARCAD_23_31H_3H,Barricade 23-31H 3H,2/1/2021,747.02,343.283488,-6.453731703,196.9879994
49037122E,BARCAD_24_36_CP,Barricade 24-36 CP,2/1/2021,,,,
49037124E,BARCAD_24_36_S1LH_1,Barricade 24-36 S1LH 1,2/1/2021,299.0369,,,54.24254847
49037134E,BARCAD_24_36_S2MH_1,Barricade 24-36 S2MH 1,2/1/2021,714.1312,,,60.19799032
49037133E,BARCAD_32_NE_6D,Barricade 32 NE-6D,2/1/2021,162.9456,,,24.43661981
49037145E,BARCAD_41_6_CP,Barricade 41-6 CP,2/1/2021,1766.748,,,194.8651186
49037128E,BARCAD_41_6_LH_2,Barricade 41-6 LH 2,2/1/2021,828.8801,,,29.50103931
